Frame,Width (mm),Height (mm)
1,5.1000000000000005,4.1000000000000005
2,8.3,4.6000000000000005
3,8.3,4.7
4,4.5,6.6000000000000005
5,16.1,8.9
6,7.1000000000000005,4.4
7,9.4,4.4
8,12.700000000000001,13.4
9,13.700000000000001,12.200000000000001
10,10.100000000000001,10.9
11,9.1,7.6000000000000005
12,7.2,8.1
13,23.200000000000003,13.8
14,21.6,10.4
15,12.4,14.0
16,9.700000000000001,15.4
17,13.0,22.1
18,10.0,11.8
19,23.400000000000002,19.8
20,10.9,13.700000000000001
21,8.3,9.5
22,12.5,13.600000000000001
23,27.5,16.400000000000002
24,14.9,21.700000000000003
25,20.3,11.9
26,19.5,13.600000000000001
27,11.100000000000001,12.0
28,18.8,13.600000000000001
29,16.7,18.6
30,15.200000000000001,15.100000000000001
31,12.5,12.8
32,20.8,15.700000000000001
33,15.700000000000001,11.9
34,11.200000000000001,16.8
35,14.5,12.600000000000001
36,19.200000000000003,17.8
37,18.3,13.9
38,18.900000000000002,19.3
39,14.5,14.100000000000001
40,26.1,16.2
41,12.0,15.8
